station,date,pm25_mean,pm25_max,pm25_valid_hours,hours_pm25_ge_25,pm10_mean,pm10_max,humidity_mean,temperature_mean,wind_speed_mean,pressure_mean,rainfall_total,wind_dir_sin_mean,wind_dir_cos_mean,year,month
Palmerston,2022-07-19,17.142272727272726,29.99,22,,21.916363636363634,34.81,75.60833333333333,23.502916666666668,1.921304347826087,1011.95375,0.0,-0.04898331013955806,-0.22641104470740228,2022,7
Palmerston,2022-07-20,20.357499999999998,27.76,24,5.0,24.852500000000003,32.13,72.02916666666667,24.477500000000003,1.983913043478261,1011.8245833333334,0.0,-0.013233765197298129,0.2118767456501197,2022,7
Palmerston,2022-07-21,,,15,,,,67.2625,24.837083333333336,2.3006666666666664,1011.96,0.0,0.21412005716722124,-0.39082877297609353,2022,7
Palmerston,2022-07-22,22.392916666666665,32.31,24,11.0,26.54125,38.72,70.7375,23.03708333333333,1.6154545454545455,1012.6475,0.0,0.3482349471763858,-0.12691103765158798,2022,7
Palmerston,2022-07-23,24.50125,66.95,24,6.0,27.868750000000002,71.41,64.56363636363636,21.8925,1.8639130434782607,1011.7366666666667,0.0,0.5012516745963215,-0.2135285006988555,2022,7
Palmerston,2022-07-24,,,17,,,,73.61666666666666,21.424166666666665,2.1799999999999997,1011.1579166666667,0.0,-0.30461597478248004,0.004118719166517022,2022,7
Palmerston,2022-07-25,17.18625,24.95,24,0.0,20.16625,26.16,74.52083333333333,23.228333333333335,1.5154166666666666,1011.1175,0.0,0.11645548357829312,-0.11230062020247662,2022,7
Palmerston,2022-07-26,,,3,,,,75.625,24.81375,1.1166666666666667,1011.30125,0.0,0.20249230690155398,-0.8765144059621744,2022,7
Palmerston,2022-07-27,,,15,,,,62.8,25.275833333333335,2.8885714285714283,1011.8004166666666,0.0,0.6892355191095589,-0.3328916584280112,2022,7
Palmerston,2022-07-28,18.54041666666667,29.8,24,5.0,27.60625,79.55,65.2625,24.389166666666668,2.0383333333333336,1012.2108333333334,0.0,0.5099002279779229,-0.3474455195935577,2022,7
Palmerston,2022-07-29,9.384166666666667,18.3,24,0.0,13.710416666666667,24.31,63.52916666666667,25.242500000000003,2.1404166666666664,1011.3458333333333,0.0,0.40039204820826185,-0.19096705120292579,2022,7
Palmerston,2022-07-30,14.569166666666668,32.14,24,2.0,18.995416666666667,37.23,67.67916666666666,25.5525,1.6379166666666667,1011.0270833333334,0.0,0.1501546438864622,0.037231447393685335,2022,7
Palmerston,2022-07-31,22.120833333333334,35.48,24,5.0,27.302083333333332,39.53,76.88333333333334,24.987083333333334,1.8324999999999998,1010.4308333333333,0.0,0.18741333023898785,0.19989388737662842,2022,7
Palmerston,2022-08-01,18.082857142857144,28.41,21,,23.007619047619045,33.26,76.14999999999999,26.136666666666667,1.95375,1010.1145833333334,0.0,0.442700076196719,0.31437277598554597,2022,8
